,movie_id,title,overview,genres,keywords,cast,crew,tags
0,19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron'],action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d sam worthington zoe saldana sigourney weaver james cameron
1,285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],adventure fantasy action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley gore verbinski
2,206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes'],action adventure crime spy based on novel secret agent sequel mi6 british secret service united kingdom daniel craig christoph waltz léa seydoux sam mendes
3,49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']","['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan'],action crime drama thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman christian bale michael caine gary oldman christopher nolan
4,49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton'],action adventure science fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d taylor kitsch lynn collins samantha morton andrew stanton
5,559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],fantasy action adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge tobey maguire kirsten dunst james franco sam raimi
6,38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']","['Zachary Levi', 'Mandy Moore', 'Donna Murphy']","['Byron Howard', 'Nathan Greno']",animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick zachary levi mandy moore donna murphy byron howard nathan greno
7,99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon'],action adventure science fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d robert downey jr. chris hemsworth mark ruffalo joss whedon
8,767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],adventure fantasy family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf daniel radcliffe rupert grint emma watson david yates
9,209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']","['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder'],action adventure fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe ben affleck henry cavill gal gadot zack snyder
10,1452,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['Adventure', 'Fantasy', 'Action', 'Science Fiction']","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']","['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",['Bryan Singer'],adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor brandon routh kevin spacey kate bosworth bryan singer
11,10764,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['Adventure', 'Action', 'Thriller', 'Crime']","['killing', 'undercover', 'secret agent', 'british secret service']","['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",['Marc Forster'],adventure action thriller crime killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric marc forster
12,58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger johnny depp orlando bloom keira knightley gore verbinski
13,57201,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']","['Johnny Depp', 'Armie Hammer', 'William Fichtner']",['Gore Verbinski'],action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto johnny depp armie hammer william fichtner gore verbinski
14,49521,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']","['Henry Cavill', 'Amy Adams', 'Michael Shannon']",['Zack Snyder'],action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe henry cavill amy adams michael shannon zack snyder
15,2454,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['Adventure', 'Family', 'Fantasy']","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']","['Ben Barnes', 'William Moseley', 'Anna Popplewell']",['Andrew Adamson'],adventure family fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world ben barnes william moseley anna popplewell andrew adamson
16,24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon'],science fiction action adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe robert downey jr. chris evans mark ruffalo joss whedon
17,1865,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",['Rob Marshall'],adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnny depp penélope cruz ian mcshane rob marshall
